Tanggal;Username;Clean Dataset
2022-02-13 23:45:32+00:00;SantorinisSun;nama baru tidak jadi ikn
2022-02-13 22:03:17+00:00;hipohan;jokowi nama kandidat kepala otoritas ikn ahok azwar anas bambang brodjonegoro tumiyono jokowi kepala otorita ikn arsitek pimpin daerah note nama satu tidak ada arsitek
2022-02-13 11:27:30+00:00;TanHuihui19;haaa partai umat baru netes sudah cemar nama partai habis trus gulung tikar pantesan mbah amin tidak da suara undang ikn
2022-02-13 08:34:55+00:00;Penjagajokowi1;nama sultan kuta kartanegara dukung penuh persen ada bangun ikn
2022-02-13 03:45:04+00:00;LawanCovid19;harap masyarakat tetap nusantara bagai nama ibu kota baru kesah undang ikn bawa maju sejahtera bangsa indonesia nusantara negeri sejahtera
2022-02-12 16:47:01+00:00;NB_Maharani;manusia oportunis ge er jadi gubernur ikn pdip sodor nama btp lgs blingsatan kaya kucing cebur comberan cari masalah kritik ikn dasar manusia oportunis
2022-02-12 07:03:33+00:00;Penyair_Berdiri;nusantara nama ikn baru rupa konseptualisasi seluruh wilayah pulau indonesia satu laut
2022-02-12 05:40:28+00:00;chinta_chintata;menteri ppn kepala bappenas suharso monoarfa resmi papar nama ibu kota negara ikn baru nusantara letak wilayah najam paser utara kalimantan timur link youtube
2022-02-12 05:14:18+00:00;hendrina_reve;kecewa kali dah ngarep jadi kepala ikn nama ahok santer
2022-02-12 02:59:37+00:00;poetut_preneur;makna psi partai putar ibukota tidak tau ikn jadi ganti nama partai
2022-02-11 20:06:03+00:00;kabarmajapahit;tuju pindah ikn ilham habibie usul nama nusakarta detiknews
2022-02-11 12:01:16+00:00;DedenPadjajaran;mantap nama negara duit gue pinjem dulu yee bayar utang wujud ikn
2022-02-11 10:46:27+00:00;Argo00449750;aneh ya tidak apa nama usul sa usul nama ikn nusa botak gimana
2022-02-11 08:25:53+00:00;richworld;nama indonesia sudah dunia kaleee ikn mandalika dst formule e dunia pandang belah
2022-02-11 07:07:45+00:00;sheeeshjancepu;nama ikn nusantara nder
